maurenginethsierragamboa@gmail.com,Mauren Gineth,Sierra Gamboa,5690056047,361445402379,CC,5725037480,Bogotá,Abk1299230
karennathaliagomeztulcan@gmail.com,Karen Nathalia,Gomez Tulcan,1946840377,318420419731,CC,6510586088,Medellín,Abk1299231
emilygabrielagonzalezmartinez@gmail.com,Emily Gabriela,Gonzalez Martinez,7990602795,391637462832,CC,4484733328,Cali,Abk1299232
andreajuliehtlopezmontes@gmail.com,Andrea Julieht,Lopez Montes,504391051,387412508188,CC,4894239767,Barranquilla,Abk1299233
juansebastianarenasrodriguez@gmail.com,Juan Sebastian,Arenas Rodriguez,629866131,311205676837,CC,3903625842,Cartagena de Indias,Abk1299234
leslyvanessarodriguezmartinez@gmail.com,Lesly Vanessa,Rodriguez Martinez,963140685,374476614869,CC,5443605238,Soacha,Abk1299235
nicolasrestrepoaguilar@gmail.com,Nicolas,Restrepo Aguilar,7498340301,338532353801,CC,9839132561,Cúcuta,Abk1299236
anasofiabeltranneusa@gmail.com,Ana Sofia,Beltran Neusa,9424206206,326109206737,CC,4495542059,Soledad,Abk1299237
nicoljisethorjuelaolarte@gmail.com,Nicol Jiseth,Orjuela Olarte,5635741209,395131034821,CC,4283609237,Bucaramanga,Abk1299238
davidestebanreyespinto@gmail.com,David Esteban,Reyes Pinto,5719478246,390930396644,CC,6671442118,Bello,Abk1299239
lauravalentinagalvisovalle@gmail.com,Laura Valentina,Galvis Ovalle,5194036259,311271767601,CC,3235737399,Villavicencio,Abk1299240
alisonvannesacamargoherrera@gmail.com,Alison Vannesa,Camargo Herrera,9790648729,306044156389,CC,9470419912,Ibagué,Abk1299241
jinethalexandralarapulido@gmail.com,Jineth Alexandra,Lara Pulido,6712204048,329437876577,CC,9009849496,Santa Marta,Abk1299242
phillipandreyvegagonzalez@gmail.com,Phillip Andrey,Vega Gonzalez,5664716107,347092980574,CC,7842758216,Valledupar,Abk1299243
laurasofiamosquerapolo@gmail.com,Laura Sofia,Mosquera Polo,1714207406,321979093819,CC,6613107982,Manizales,Abk1299244
davidsantiagogachabarrera@gmail.com,David Santiago,Gacha Barrera,9877445974,308256046081,CC,9888234756,Pereira,Abk1299245
